key,en,af,ar,dua,fr,ha,ig,sw,xh,yo,zu
scanner.content_scanner,Content Scanner,Inhoud Skandeerder,ماسح المحتوى,Content Scanner,Scanner de contenu,Mai Binciken Abun ciki,Nyocha ọdịnaya,Mchunguzi wa Maudhui,Iskena Sezinto Eziqulathiweyo,Onínọmbà Àkóónú,Iskena Sokusunguliwe
scanner.dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Hatari,Dangerous,Dangerous,Dangerous
scanner.enter_email,Enter email content,Enter email content,Enter email content,Enter email content,Enter email content,Enter email content,Enter email content,Ingiza maudhui ya barua pepe,Enter email content,Enter email content,Enter email content
scanner.enter_phone,Enter phone number,Enter phone number,Enter phone number,Enter phone number,Enter phone number,Enter phone number,Enter phone number,Ingiza nambari ya simu,Enter phone number,Enter phone number,Enter phone number
scanner.enter_url,Enter URL to scan,Enter URL to scan,Enter URL to scan,Enter URL to scan,Enter URL to scan,Enter URL to scan,Enter URL to scan,Ingiza URL ya kuchunguza,Enter URL to scan,Enter URL to scan,Enter URL to scan
scanner.safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Salama,Safe,Safe,Safe
scanner.scan_email,Scan Email,Scan Email,Scan Email,Scan Email,Scan Email,Scan Email,Scan Email,Chunguza Barua Pepe,Scan Email,Scan Email,Scan Email
scanner.scan_now,Scan Now,Scan Now,Scan Now,Scan Now,Scan Now,Scan Now,Scan Now,Chunguza Sasa,Scan Now,Scan Now,Scan Now
scanner.scan_phone,Scan Phone Number,Scan Phone Number,Scan Phone Number,Scan Phone Number,Scan Phone Number,Scan Phone Number,Scan Phone Number,Chunguza Nambari ya Simu,Scan Phone Number,Scan Phone Number,Scan Phone Number
scanner.scan_url,Scan URL,Scan URL,Scan URL,Scan URL,Scan URL,Scan URL,Scan URL,Chunguza URL,Scan URL,Scan URL,Scan URL
scanner.scanning,Scanning...,Scanning...,Scanning...,Scanning...,Scanning...,Scanning...,Scanning...,Ninachunguza...,Scanning...,Scanning...,Scanning...
scanner.suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Mashuku,Suspicious,Suspicious,Suspicious
scanner.threat_level,Threat Level,Threat Level,Threat Level,Threat Level,Threat Level,Threat Level,Threat Level,Kiwango cha Tishio,Threat Level,Threat Level,Threat Level
scanner.threat_scanner,Threat Scanner,Threat Scanner,Threat Scanner,Threat Scanner,Threat Scanner,Threat Scanner,Threat Scanner,Mchunguzi wa Vitisho,Threat Scanner,Threat Scanner,Threat Scanner
